ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,USUARIO_ID,MANTENIMIENTO_ID
81,ROTURA,2024-10-06T00:00:00,CERRADA,"['391-88-3157', '380-75-1092']","['MNT-02899', 'MNT-08710']"
82,DESGASTE,2024-04-11T00:00:00,CERRADA,"['838-96-5164', '818-45-3964']",['MNT-01741']
83,VANDALISMO,2024-04-27T00:00:00,CERRADA,"['575-21-6618', '260-56-5535']","['MNT-02507', 'MNT-05962']"
84,DESGASTE,2024-01-03T00:00:00,ABIERTA,"['824-77-2616', '158-28-9848', '514-82-8382']",['MNT-11189']
85,VANDALISMO,2023-12-16T00:00:00,CERRADA,['099-35-1380'],['MNT-06988']
86,VANDALISMO,2024-09-17T00:00:00,ABIERTA,"['217-98-1971', '937-20-7275']",['MNT-11802']
87,ROTURA,2024-03-23T00:00:00,CERRADA,"['788-21-2876', '946-79-0736']","['MNT-03508', 'MNT-08892', 'MNT-12574']"
88,MAL FUNCIONAMIENTO,2024-04-02T00:00:00,ABIERTA,"['675-54-6552', '409-86-2303']",['MNT-01330']
89,MAL FUNCIONAMIENTO,2024-05-18T00:00:00,CERRADA,"['817-34-2428', '554-49-0304', '218-00-4040']",['MNT-04249']
90,DESGASTE,2024-01-14T00:00:00,ABIERTA,"['174-43-1815', '019-00-6767']",['MNT-10012']
91,MAL FUNCIONAMIENTO,2024-02-13T00:00:00,CERRADA,"['148-66-5370', '430-05-1686']",['MNT-12883']
92,DESGASTE,2024-01-09T00:00:00,CERRADA,"['865-70-1340', '760-66-5305', '798-74-5409']",['MNT-01855']
93,DESGASTE,2023-11-27T00:00:00,CERRADA,"['017-43-7295', '357-05-1407']",['MNT-01845']
94,VANDALISMO,2024-05-09T00:00:00,CERRADA,['436-60-7701'],['MNT-01454']
95,MAL FUNCIONAMIENTO,2023-11-20T00:00:00,ABIERTA,['982-27-6070'],"['MNT-02112', 'MNT-11757']"
96,MAL FUNCIONAMIENTO,2023-10-15T00:00:00,CERRADA,"['903-89-7000', '729-25-9421', '167-74-2219']","['MNT-01003', 'MNT-09563']"
97,DESGASTE,2024-05-29T00:00:00,ABIERTA,"['741-25-9934', '927-72-9530']",['MNT-09212']
98,DESGASTE,2024-01-07T00:00:00,CERRADA,"['433-38-2732', '243-26-3469']",['MNT-02609']
99,DESGASTE,2023-11-14T00:00:00,ABIERTA,"['775-68-8525', '081-60-4000', '398-68-3882']","['MNT-01240', 'MNT-04435', 'MNT-12761']"
100,VANDALISMO,2024-05-19T00:00:00,CERRADA,['770-24-2945'],['MNT-06864']
101,MAL FUNCIONAMIENTO,2024-10-03T00:00:00,CERRADA,"['336-56-1396', '806-70-9754', '180-58-7713']",['MNT-01560']
102,DESGASTE,2024-08-22T00:00:00,ABIERTA,"['110-54-2966', '743-88-8084']",['MNT-09012']
103,DESGASTE,2024-07-11T00:00:00,CERRADA,"['220-90-9225', '628-73-9187']","['MNT-01269', 'MNT-10379']"
104,MAL FUNCIONAMIENTO,2023-11-02T00:00:00,CERRADA,['546-06-9283'],['MNT-05666']
105,ROTURA,2023-12-06T00:00:00,CERRADA,"['753-87-8349', '831-23-8385']","['MNT-07976', 'MNT-14313']"
106,VANDALISMO,2023-12-23T00:00:00,CERRADA,['358-75-9776'],"['MNT-04356', 'MNT-11765']"
107,ROTURA,2023-10-21T00:00:00,CERRADA,['813-16-4973'],['MNT-11043']
108,DESGASTE,2024-05-19T00:00:00,ABIERTA,['888-02-5417'],['MNT-12162']
109,ROTURA,2023-12-27T00:00:00,CERRADA,"['402-42-7281', '406-56-3619', '660-91-9231']",['MNT-05315']
110,MAL FUNCIONAMIENTO,2023-11-09T00:00:00,ABIERTA,"['915-79-7888', '804-50-1687']","['MNT-07092', 'MNT-11539']"
111,VANDALISMO,2024-08-24T00:00:00,CERRADA,['670-05-9074'],"['MNT-11234', 'MNT-12677']"
112,MAL FUNCIONAMIENTO,2023-10-23T00:00:00,CERRADA,"['847-44-2878', '440-29-6963', '107-46-8349']","['MNT-01219', 'MNT-09711', 'MNT-14285']"
113,VANDALISMO,2024-11-06T00:00:00,CERRADA,"['422-00-3504', '151-14-3672']","['MNT-05530', 'MNT-11294']"
114,MAL FUNCIONAMIENTO,2024-04-20T00:00:00,CERRADA,['944-32-3034'],['MNT-04534']
115,MAL FUNCIONAMIENTO,2024-06-06T00:00:00,ABIERTA,['692-64-7625'],"['MNT-11825', 'MNT-13298']"
116,ROTURA,2024-01-04T00:00:00,CERRADA,"['199-55-3678', '999-56-4531', '559-08-6664']",['MNT-13341']
117,VANDALISMO,2024-01-10T00:00:00,CERRADA,"['239-90-7990', '925-93-2493', '038-88-0793']",['MNT-01005']
118,ROTURA,2024-05-09T00:00:00,ABIERTA,"['488-36-2592', '755-98-6242']","['MNT-01394', 'MNT-08723']"
119,VANDALISMO,2024-06-26T00:00:00,ABIERTA,"['314-20-5792', '008-09-7815']",['MNT-14814']
120,DESGASTE,2024-03-07T00:00:00,CERRADA,"['721-47-7070', '761-76-9648']",['MNT-13667']
121,VANDALISMO,2024-08-22T00:00:00,CERRADA,"['531-32-3397', '378-21-9839', '066-94-8131']","['MNT-02159', 'MNT-04757']"
122,MAL FUNCIONAMIENTO,2024-07-01T00:00:00,CERRADA,"['021-72-0249', '106-83-9545', '932-16-5096']",['MNT-05358']
123,MAL FUNCIONAMIENTO,2023-11-03T00:00:00,CERRADA,['380-33-3475'],"['MNT-03608', 'MNT-06350']"
124,MAL FUNCIONAMIENTO,2024-02-29T00:00:00,ABIERTA,['229-67-5850'],['MNT-12976']
125,ROTURA,2024-10-08T00:00:00,ABIERTA,"['509-39-6212', '706-89-6262']",['MNT-02417']
126,VANDALISMO,2024-06-26T00:00:00,ABIERTA,['999-31-9294'],['MNT-10980']
127,ROTURA,2024-01-03T00:00:00,ABIERTA,['762-87-6031'],"['MNT-00893', 'MNT-12391', 'MNT-13550']"
128,ROTURA,2024-02-21T00:00:00,ABIERTA,['291-81-9863'],['MNT-00089']
129,ROTURA,2024-07-06T00:00:00,ABIERTA,"['060-83-4978', '088-72-6336', '805-52-9768']","['MNT-00319', 'MNT-05790']"
130,MAL FUNCIONAMIENTO,2023-12-03T00:00:00,ABIERTA,"['103-58-3873', '788-66-1589', '559-53-7633']","['MNT-00234', 'MNT-04043']"
131,VANDALISMO,2024-06-30T00:00:00,CERRADA,"['426-59-0592', '132-74-6029', '008-44-5781']","['MNT-10776', 'MNT-12743']"
132,ROTURA,2024-03-09T00:00:00,CERRADA,['342-05-0813'],['MNT-06748']
133,VANDALISMO,2024-04-14T00:00:00,ABIERTA,['744-40-7622'],['MNT-09083']
134,VANDALISMO,2024-04-12T00:00:00,ABIERTA,['768-48-1875'],['MNT-08942']
135,VANDALISMO,2024-06-24T00:00:00,CERRADA,['907-91-3349'],['MNT-12962']
136,MAL FUNCIONAMIENTO,2024-04-17T00:00:00,ABIERTA,"['857-73-1221', '854-06-8449', '114-82-0887']",['MNT-13527']
137,DESGASTE,2024-08-24T00:00:00,CERRADA,"['498-20-3589', '750-10-2047', '226-27-5299']","['MNT-09104', 'MNT-12773']"
138,DESGASTE,2024-01-19T00:00:00,CERRADA,"['516-01-8072', '207-84-0141', '178-68-4628']","['MNT-04286', 'MNT-10327']"
139,MAL FUNCIONAMIENTO,2024-08-14T00:00:00,CERRADA,"['713-15-5817', '445-92-8881', '982-34-7661']",['MNT-11886']
140,ROTURA,2023-11-12T00:00:00,ABIERTA,"['590-05-0409', '141-94-3256', '897-31-3331']",['MNT-03672']
141,ROTURA,2023-12-01T00:00:00,CERRADA,"['433-06-8898', '999-56-0502', '235-22-0229']",['MNT-07470']
142,ROTURA,2024-08-27T00:00:00,ABIERTA,"['800-63-9797', '786-16-3738', '179-73-2227']",['MNT-03999']
143,VANDALISMO,2024-04-14T00:00:00,ABIERTA,"['993-26-8588', '021-72-0249']",['MNT-10556']
144,VANDALISMO,2024-02-14T00:00:00,CERRADA,"['197-54-6424', '807-82-9494']",['MNT-14212']
145,MAL FUNCIONAMIENTO,2023-12-14T00:00:00,CERRADA,['374-61-4080'],['MNT-12665']
146,VANDALISMO,2024-02-04T00:00:00,ABIERTA,"['852-76-3607', '561-26-7740', '374-49-6742']",['MNT-03462']
147,ROTURA,2024-05-24T00:00:00,CERRADA,"['743-88-8084', '925-12-3302', '742-25-8929']","['MNT-02218', 'MNT-13692']"
148,ROTURA,2024-03-07T00:00:00,ABIERTA,"['210-74-6960', '304-23-9582', '354-41-2235']","['MNT-05072', 'MNT-08621']"
149,DESGASTE,2024-07-21T00:00:00,CERRADA,"['309-48-5557', '191-66-6006']","['MNT-03627', 'MNT-10050']"
150,DESGASTE,2024-02-07T00:00:00,CERRADA,"['442-73-6240', '428-15-6327', '703-36-0172']","['MNT-01348', 'MNT-04293', 'MNT-11069']"
151,MAL FUNCIONAMIENTO,2024-02-27T00:00:00,CERRADA,['933-52-0348'],['MNT-13944']
152,VANDALISMO,2024-04-24T00:00:00,CERRADA,['799-14-3002'],"['MNT-02198', 'MNT-11261']"
153,ROTURA,2024-01-03T00:00:00,ABIERTA,['395-25-3102'],['MNT-13983']
154,ROTURA,2024-06-05T00:00:00,CERRADA,['865-72-4713'],['MNT-11768']
155,VANDALISMO,2023-12-27T00:00:00,ABIERTA,"['610-07-8246', '739-38-2948']",['MNT-00714']
156,VANDALISMO,2023-12-07T00:00:00,CERRADA,"['406-08-6881', '522-29-8564', '419-82-9150']","['MNT-06323', 'MNT-14304']"
157,ROTURA,2023-11-27T00:00:00,ABIERTA,"['265-48-2957', '872-67-3391']","['MNT-00060', 'MNT-01615']"
158,ROTURA,2024-02-19T00:00:00,CERRADA,['032-32-5015'],"['MNT-02348', 'MNT-14207']"
159,ROTURA,2023-12-12T00:00:00,ABIERTA,"['205-00-9933', '138-25-4182']",['MNT-00017']
160,DESGASTE,2024-02-15T00:00:00,ABIERTA,"['777-79-8430', '383-80-7670']",['MNT-14613']
161,VANDALISMO,2024-01-17T00:00:00,ABIERTA,"['198-65-0810', '580-02-1574', '470-22-3012']",['MNT-11633']
162,DESGASTE,2024-07-03T00:00:00,CERRADA,"['067-58-2956', '171-54-0923', '945-91-5104']","['MNT-01912', 'MNT-12659', 'MNT-13067']"
163,ROTURA,2024-07-30T00:00:00,ABIERTA,"['872-99-7259', '665-47-8041']","['MNT-08033', 'MNT-14540']"
164,ROTURA,2023-11-19T00:00:00,ABIERTA,"['068-68-2427', '696-63-7680']","['MNT-03659', 'MNT-09379']"
165,ROTURA,2024-05-18T00:00:00,CERRADA,"['549-28-7148', '715-12-8995', '548-46-9753']",['MNT-03203']
166,MAL FUNCIONAMIENTO,2024-10-04T00:00:00,ABIERTA,"['760-99-8105', '714-47-8610', '135-40-0780']","['MNT-01821', 'MNT-08955', 'MNT-10302']"
167,ROTURA,2023-11-30T00:00:00,CERRADA,['303-99-0679'],['MNT-09101']
168,VANDALISMO,2024-02-12T00:00:00,ABIERTA,['094-28-9871'],['MNT-05716']
169,DESGASTE,2024-07-11T00:00:00,CERRADA,"['391-82-5472', '913-45-8490', '003-70-2209']","['MNT-07839', 'MNT-10091']"
170,DESGASTE,2023-11-19T00:00:00,ABIERTA,"['213-99-9087', '179-49-4838']",['MNT-12457']
171,ROTURA,2023-11-06T00:00:00,ABIERTA,"['562-33-7001', '311-30-4865']",['MNT-12488']
172,VANDALISMO,2024-09-20T00:00:00,CERRADA,"['186-54-3558', '128-84-7974']",['MNT-06870']
173,DESGASTE,2024-07-09T00:00:00,ABIERTA,"['002-53-4615', '244-04-0014']",['MNT-13396']
174,VANDALISMO,2023-12-23T00:00:00,ABIERTA,"['213-35-6192', '362-20-2362', '698-52-5306']","['MNT-05567', 'MNT-06893']"
175,ROTURA,2024-09-15T00:00:00,CERRADA,['463-07-6119'],['MNT-13508']
176,DESGASTE,2024-03-07T00:00:00,ABIERTA,"['465-66-7179', '499-25-5214', '802-02-2509']","['MNT-05197', 'MNT-13163']"
177,MAL FUNCIONAMIENTO,2024-08-01T00:00:00,CERRADA,"['516-93-9492', '465-05-9417']",['MNT-09393']
178,MAL FUNCIONAMIENTO,2024-09-13T00:00:00,ABIERTA,['280-16-8155'],['MNT-11491']
179,ROTURA,2024-03-07T00:00:00,CERRADA,"['397-44-1337', '364-82-2347', '171-50-3237']",['MNT-13741']
180,ROTURA,2024-07-23T00:00:00,CERRADA,"['002-07-7437', '408-76-7776']",['MNT-12723']
181,ROTURA,2024-08-04T00:00:00,ABIERTA,"['832-34-4746', '759-45-6594', '236-84-5106']",['MNT-06398']
182,VANDALISMO,2024-09-25T00:00:00,CERRADA,"['917-42-2331', '465-09-8156']",['MNT-02666']
183,DESGASTE,2024-02-19T00:00:00,CERRADA,['054-11-4063'],['MNT-07836']
184,MAL FUNCIONAMIENTO,2024-05-11T00:00:00,CERRADA,"['862-77-3192', '537-17-5166']",['MNT-06102']
185,MAL FUNCIONAMIENTO,2023-11-15T00:00:00,CERRADA,"['854-62-4392', '426-18-3896']",['MNT-07585']
186,ROTURA,2023-12-30T00:00:00,ABIERTA,"['757-76-2598', '039-22-1924']",['MNT-11854']
187,VANDALISMO,2024-08-25T00:00:00,CERRADA,['057-70-0978'],['MNT-07064']
188,DESGASTE,2024-05-13T00:00:00,CERRADA,['416-92-4256'],"['MNT-05054', 'MNT-08978']"
189,VANDALISMO,2023-12-24T00:00:00,ABIERTA,"['612-98-3499', '360-52-5410']",['MNT-10821']
190,MAL FUNCIONAMIENTO,2023-12-29T00:00:00,CERRADA,"['990-34-7933', '786-49-5347', '901-30-7322']","['MNT-07252', 'MNT-14114']"
191,ROTURA,2024-10-09T00:00:00,CERRADA,['758-71-7752'],"['MNT-02506', 'MNT-08275']"
192,VANDALISMO,2024-01-10T00:00:00,ABIERTA,"['342-07-6171', '804-26-7623', '580-40-7687']","['MNT-05460', 'MNT-07271']"
193,DESGASTE,2024-05-27T00:00:00,ABIERTA,['664-40-9102'],['MNT-12763']
194,DESGASTE,2024-06-29T00:00:00,ABIERTA,"['061-19-0691', '972-81-3786', '664-33-3200']",['MNT-04178']
195,MAL FUNCIONAMIENTO,2023-10-22T00:00:00,ABIERTA,"['495-29-8363', '174-15-0363', '966-69-8630']","['MNT-11887', 'MNT-12689']"
196,MAL FUNCIONAMIENTO,2023-10-30T00:00:00,ABIERTA,['909-82-3394'],['MNT-13447']
197,ROTURA,2024-07-02T00:00:00,CERRADA,"['532-05-5805', '163-11-1730']",['MNT-02718']
198,DESGASTE,2024-03-11T00:00:00,CERRADA,"['007-04-5019', '152-23-7523']","['MNT-05845', 'MNT-13951']"
199,DESGASTE,2024-03-21T00:00:00,CERRADA,"['063-58-5461', '217-91-8807']","['MNT-06959', 'MNT-11135']"
200,MAL FUNCIONAMIENTO,2024-01-02T00:00:00,ABIERTA,"['673-75-8581', '129-74-7536']","['MNT-00997', 'MNT-03861']"
201,DESGASTE,2023-10-29T00:00:00,ABIERTA,['479-87-4882'],"['MNT-08681', 'MNT-12944']"
202,DESGASTE,2024-04-16T00:00:00,ABIERTA,"['690-16-4774', '252-10-7073']","['MNT-06764', 'MNT-09871']"
203,MAL FUNCIONAMIENTO,2024-06-18T00:00:00,CERRADA,"['367-06-8004', '277-94-4280']",['MNT-10765']
204,DESGASTE,2024-09-06T00:00:00,ABIERTA,"['506-71-8929', '250-51-8547', '223-08-2682']",['MNT-07597']
205,VANDALISMO,2024-03-17T00:00:00,CERRADA,['734-24-8767'],['MNT-08255']
206,MAL FUNCIONAMIENTO,2024-02-23T00:00:00,CERRADA,['260-85-2212'],['MNT-03972']
207,VANDALISMO,2024-06-19T00:00:00,CERRADA,['803-81-3426'],"['MNT-01923', 'MNT-10256']"
208,MAL FUNCIONAMIENTO,2024-04-02T00:00:00,CERRADA,"['440-02-5745', '273-62-7268']",['MNT-07834']
209,ROTURA,2024-10-10T00:00:00,CERRADA,"['092-70-0241', '365-96-5751']","['MNT-02095', 'MNT-06413']"
210,DESGASTE,2024-01-27T00:00:00,CERRADA,"['328-61-4499', '890-01-1532', '673-84-2527']",['MNT-11741']
211,MAL FUNCIONAMIENTO,2024-01-25T00:00:00,ABIERTA,"['968-91-5056', '716-83-1508', '599-74-8656']",['MNT-05711']
212,MAL FUNCIONAMIENTO,2024-08-18T00:00:00,ABIERTA,['227-47-0723'],['MNT-02469']
213,ROTURA,2023-10-18T00:00:00,ABIERTA,"['883-80-3294', '981-24-9643', '583-45-2974']","['MNT-01989', 'MNT-08098']"
214,ROTURA,2024-10-03T00:00:00,ABIERTA,"['474-72-2630', '771-65-8952']",['MNT-10744']
215,MAL FUNCIONAMIENTO,2023-12-15T00:00:00,ABIERTA,"['459-61-4620', '938-68-2871', '886-72-5197']",['MNT-03502']
216,VANDALISMO,2024-09-20T00:00:00,CERRADA,"['179-81-4070', '357-52-5162', '546-47-9408']","['MNT-06097', 'MNT-10096']"
217,VANDALISMO,2024-03-30T00:00:00,CERRADA,"['852-71-8158', '255-33-2089']",['MNT-12925']
218,MAL FUNCIONAMIENTO,2023-10-17T00:00:00,ABIERTA,"['642-31-1706', '964-31-2091', '697-74-4853']",['MNT-12989']
219,ROTURA,2024-07-20T00:00:00,CERRADA,"['466-42-2357', '414-12-7610']",['MNT-08837']
220,DESGASTE,2023-11-10T00:00:00,ABIERTA,['502-03-2311'],['MNT-00929']
221,VANDALISMO,2023-10-18T00:00:00,CERRADA,['772-34-6496'],"['MNT-05865', 'MNT-08461']"
222,VANDALISMO,2024-05-01T00:00:00,ABIERTA,"['304-20-0421', '208-20-6478']",['MNT-05497']
223,ROTURA,2024-04-19T00:00:00,ABIERTA,['643-11-2165'],['MNT-01883']
224,MAL FUNCIONAMIENTO,2024-07-08T00:00:00,CERRADA,"['272-38-0325', '291-56-2499']",['MNT-00345']
225,VANDALISMO,2024-10-13T00:00:00,ABIERTA,"['834-86-5253', '007-28-9700']","['MNT-03852', 'MNT-04401']"
226,DESGASTE,2024-06-16T00:00:00,ABIERTA,"['128-84-7974', '166-49-5361', '307-08-9395']",['MNT-10303']
227,ROTURA,2023-12-14T00:00:00,CERRADA,"['157-20-3561', '185-71-4779', '441-70-8832']","['MNT-02607', 'MNT-10069', 'MNT-14322']"
